 13730-1        Tebo-ICT,  license #WeiChuang(CD)

 Parts List              40/40  Selected Parts             10-May-2019 14:42
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

R18          -1.2990    0.5640   90.0  A1   (B)  'R402H16', 'R402H16'
R19          -1.2990    0.6000   90.0  A1   (B)  'R402H16', 'R402H16'
R201         -1.9060    0.5600  270.0  A1   (B)  'R402H16', 'R402H16'
R202         -1.9060    0.5920  270.0  A1   (B)  'R402H16', 'R402H16'
R203         -1.5750    0.6660  270.0  A1   (B)  'R402H16', 'R402H16'
R204         -1.5570    0.5510  180.0  A1   (B)  'R402H16', 'R402H16'
R205         -1.9740    0.7710  270.0  A1   (B)  'R402H16', 'R402H16'
R206         -1.6590    0.5670   90.0  A1   (B)  'R402H16', 'R402H16'
R207         -1.6590    0.6030   90.0  A1   (B)  'R402H16', 'R402H16'
R208         -1.9740    0.6870  270.0  A1   (B)  'R402H16', 'R402H16'
R209         -1.5900    0.6170  180.0  A1   (B)  'R402H16', 'R402H16'
R210         -1.8640    0.8570  180.0  A1   (B)  'R402H14', 'R402H14'
R211         -1.8310    0.8570  180.0  A1   (B)  'R402H14', 'R402H14'
R212         -1.7250    0.9540  270.0  A1   (B)  'R603H22', 'R603H22'
C15          -0.6040    0.4950   90.0  A1   (B)  'C402H20', 'C402H20'
C16          -0.6040    0.5280   90.0  A1   (B)  'C402H22', 'C402H22'
C201         -1.9730    0.5290  270.0  A1   (B)  'C402H22', 'C402H22'
C202         -1.9730    0.5620  270.0  A1   (B)  'C402H22', 'C402H22'
C203         -1.9740    0.6130  270.0  A1   (B)  'C402H22', 'C402H22'
C204         -1.5570    0.6170  180.0  A1   (B)  'C402H22', 'C402H22'
C205         -1.9740    0.8940  270.0  A1   (B)  'C402H22', 'C402H22'
C206         -1.9740    0.6540   90.0  A1   (B)  'C402H22', 'C402H22'
C207         -1.6130    0.7320   90.0  A1   (B)  'C402H22', 'C402H22'
C208         -1.9740    0.8610  270.0  A1   (B)  'C402H22', 'C402H22'
C209         -1.6130    0.7650   90.0  A1   (B)  'C402H22', 'C402H22'
C210         -1.5900    0.5510    0.0  A1   (B)  'C402H22', 'C402H22'
C211         -1.6130    0.6990   90.0  A1   (B)  'C402H22', 'C402H22'
TC1          -1.1730    0.8050    0.0  A1   (B)  'CT3528H79', 'CT3528H79'
L3           -1.2990    0.5820  270.0  A1   (B)  'L125100-4PH24', 'L125100-4PH24'
D1           -1.1610    0.5710  180.0  A1   (B)  'SOT-6H58', 'SOT-6H58'
D201         -2.2510    0.9760    0.0  A1   (B)  'D1608-UH28', 'D1608-UH28'
D202         -2.3080    0.9760    0.0  A1   (B)  'D1608-UH28', 'D1608-UH28'
D203         -1.7250    0.7620  270.0  A1   (B)  'SOT723-1D2-312H22', 'SOT723-1D2-312H22'
FP1          -1.8228    0.6929   90.0  A1   (T)  'BGA33C120044H68', 'BGA33C120044H68'
FPCN1        -2.2244    0.8105  180.0  A1   (B)  '51530-01041-W01', '51530-01041-W01'
USB4         -0.7146    0.7697    0.0  A1   (B)  'SKT-USB8-171132-U', 'SKT-USB8-171132-U'
AFTP302      -0.6840    0.5160   90.0  A1   (B)  'AFTE14P-75', 'AFTE14P-75'
AFTP303      -0.7590    0.5160   90.0  A1   (B)  'AFTE14P-75', 'AFTE14P-75'
AFTP304      -0.8340    0.5160   90.0  A1   (B)  'AFTE14P-75', 'AFTE14P-75'
AFTP305      -0.9150    0.5050   90.0  A1   (B)  'AFTE14P-75', 'AFTE14P-75'
